Measure,Percentage Difference (1-2),Percentage Difference (1-3),Percentage Difference (2-4),Percentage Difference (3-4)
words,4.25531914893617,35.8148893360161,32.5187969924812,6.578947368421052
terms,8.955223880597014,29.78723404255319,35.62753036437247,4.8582995951417
ttr,4.908789386401334,4.438140267927502,2.3458810692853254,1.8418201516793007
rttr,6.954000724168216,11.367452402343012,17.817312362797292,1.5652300172518796
cttr,6.954000724168235,11.367452402342987,17.817312362797317,1.5652300172518598
msttr,0.5312084993359751,0.9259259259259165,1.5783083771752138,1.9830028328611755
mattr,0.5194096431284853,2.9693608104043014,1.7339940817172752,0.7471491727614977
mtld,1.9854701686266087,13.629646038751975,8.867465977360592,3.418731832201601
hdd,0.5146990452827049,2.300548057676464,2.0823000097518385,0.292461639658579
vocd,3.04818074237889,15.799877618736568,14.922436188550783,2.0378550974431207
Herdan,0.9569134454229631,0.1477759186094372,1.0006904742778686,0.1822465222412868
Summer,0.57245303133171,0.10962837073143063,0.7481533086895537,0.06172141614889482
Dugast,7.574038205505509,3.8124086393479826,12.574936695393166,0.22739029371002267
Maas,8.194708562888522,3.6724016804123716,11.1702809386592,0.22687440333792533
yulek,3.518543392284163,16.153578374937993,14.968192542236485,2.462102286673021
yulei,12.9239939187855,18.88125913449387,5.932239453825576,0.9759865842292227
herdanvm,0.9129471215824426,12.131963447487822,12.337634948655479,1.0980407976730078
simpsond,3.525079066467644,16.091856897853702,14.915087040618968,2.4756928668787053
